model,ens,exp,postprocess,table,grid,varn,period,mean
EC-Earth3-Veg,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,1850-1900,286.73
EC-Earth3,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,1850-1900,287.11
FGOALS-f3-L,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,1850-1900,285.87
FGOALS-g3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,287.16
FIO-ESM-2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,286.41
GFDL-CM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,1850-1900,285.91
GFDL-ESM4,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,1850-1900,286.56
GISS-E2-1-G,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,1850-1900,286.81
HadGEM3-GC31-LL,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,1850-1900,286.75
HadGEM3-GC31-MM,r1i1p1f3,ssp585,global_mean,Amon,gn,tas,1850-1900,287.02
IITM-ESM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,287.25
INM-CM4-8,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,1850-1900,286.48
INM-CM5-0,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,1850-1900,286.32
IPSL-CM6A-LR,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,1850-1900,285.97
KACE-1-0-G,r1i1p1f1,ssp585,global_mean,Amon,gr,tas,1850-1900,286.72
KIOST-ESM,r1i1p1f1,ssp585,global_mean,Amon,gr1,tas,1850-1900,285.89
MCM-UA-1-0,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,1850-1900,286.62
MIROC6,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,288.41
MIROC-ES2L,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,1850-1900,288.18
MPI-ESM1-2-HR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,287.07
MPI-ESM1-2-LR,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,286.67
MRI-ESM2-0,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,286.88
NESM3,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,286.78
NorESM2-LM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,287.65
NorESM2-MM,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,287.03
TaiESM1,r1i1p1f1,ssp585,global_mean,Amon,gn,tas,1850-1900,287.08
UKESM1-0-LL,r1i1p1f2,ssp585,global_mean,Amon,gn,tas,1850-1900,286.54
