#Covars (covariate phase for each covs - do not alter this line)
# fracbelow2 # largeZoop_integrated # pH_depthavg # temp_bottom5m # temp_surface5m # fracbelow2_Winter # largeZoop_integrated_Winter # pH_depthavg_Winter # temp_bottom5m_Winter # temp_surface5m_Winter # fracbelow2_Spring # largeZoop_integrated_Spring # pH_depthavg_Spring # temp_bottom5m_Spring # temp_surface5m_Spring # fracbelow2_Summer # largeZoop_integrated_Summer # pH_depthavg_Summer # temp_bottom5m_Summer # temp_surface5m_Summer # fracbelow2_Fall # largeZoop_integrated_Fall # pH_depthavg_Fall # temp_bottom5m_Fall # temp_surface5m_Fall
#nspp2 : 

#nTyrs : number years for the zooplankton hindcast data 
41
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
#ncov : number of covariates 
25
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
2.160975 -0.09729781 0.9712902 0.5942777 0.177764 0.649745 1.766927 0.1970281 1.120278 0.5306334 -0.2232846 -0.6566645 -1.180654 -0.6312476 -0.5745383 0.6392925 -0.5958287 0.1539378 -0.4318396 -0.478391 -0.6710393 -1.616316 2.060561 -1.109398 1.747692 0.8609715 1.389973 -0.4225981 -0.5173004 -1.701334 -1.30958 -0.6430602 -0.7134428 -2.162242 -0.6069503 1.165142 2.168209 3.145798 1.043027 1.562657 1.385549
#  temp_surface5m_Winter : temp_surface5m_Winter
2.184113 0.3303993 1.160595 0.9454819 0.5339767 0.8193839 1.806056 0.3736184 1.154591 0.7042773 0.1385377 -0.2819194 -0.7353481 -0.267533 -0.07987619 0.7831942 -0.2704841 0.00226989 -0.517811 -0.7206441 -0.686855 -1.72541 1.496394 -1.063915 1.175754 0.7395401 0.8235544 -0.945179 -1.060649 -1.892136 -1.865958 -0.8739046 -0.9083949 -2.089411 -1.80429 -0.1627519 1.812855 2.352578 0.9638667 0.7176451 0.6037202
#  fracbelow2_Spring : fracbelow2_Spring
-2.439572 -1.424481 -2.010931 -0.3778577 -1.208127 0.3099226 0.6519482 0.44052 -1.183681 0.2555309 -1.040439 -0.1515085 -0.1188903 0.9399653 -1.386253 -0.08673956 1.034935 -0.4922068 0.8735468 -0.9539672 1.3839 0.4528506 -0.01428897 -0.3698964 -1.21516 -0.3189491 -0.5376614 0.7838312 1.532221 1.645392 1.499673 1.086801 1.073024 2.092295 0.9206102 -1.082572 -0.4389682 -2.100484 0.4383786 -2.164866 -2.030953
#  largeZoop_integrated_Spring : largeZoop_integrated_Spring
1.661723 0.6583058 1.069839 0.7516273 0.01626921 -0.2695029 0.08511208 -0.2989721 0.9018762 -1.597751 0.06767511 -0.3353611 -0.2258337 -0.634521 0.6676655 -1.360248 -1.919377 1.752623 1.427976 -0.3510998 -1.355572 0.7701934 -0.2369591 1.464448 1.737703 0.8598556 0.3740398 -0.7050783 -1.035658 -1.433437 -0.3132824 -0.5325548 -3.162346 -1.333109 2.371261 2.969684 0.5227344 0.8072553 1.840081 3.206588 4.557289
#  pH_depthavg_Spring : pH_depthavg_Spring
1.130669 1.242575 0.656484 1.561293 0.7092274 1.10711 1.221041 0.6788666 0.672714 0.6385933 0.4400366 0.4146741 0.4437117 0.5607659 0.1556992 0.06155637 0.1034065 0.198293 0.8612196 -0.066901 -0.6617697 -0.5520804 -0.5009556 -0.09760776 -0.2412211 -0.08857039 -0.3905477 -0.976715 -1.605322 -2.342259 -2.470772 -1.732544 -1.411093 -1.769236 -2.638343 -2.112995 -1.187541 -1.60025 -1.193108 -2.096336 -2.501362
#  temp_bottom5m_Spring : temp_bottom5m_Spring
2.641787 1.389804 2.011039 0.3051244 1.211782 -0.5059788 -0.631718 -0.5549325 1.293163 -0.4199308 0.8955906 0.2593754 -0.09950085 -1.163343 1.320066 -0.08276895 -0.97296 0.5605272 -0.5720462 0.9659464 -1.301252 -0.3797992 0.2311689 0.3945154 1.227015 0.4866866 0.5717347 -0.5557256 -1.351132 -1.617703 -1.585241 -1.329506 -1.242797 -2.082306 -1.014792 0.9110686 0.5479822 2.314748 -0.4118809 1.526437 1.882376
