model,ens,exp,postprocess,table,varn,period,mean
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.23
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.88
CCSM4,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.88
CCSM4,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.83
CCSM4,r4i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.84
CCSM4,r5i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.83
CCSM4,r6i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.87
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.85
CESM1-CAM5,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.70
CESM1-CAM5,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.86
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.60
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.70
CSIRO-Mk3-6-0,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.72
CSIRO-Mk3-6-0,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.75
CSIRO-Mk3-6-0,r4i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.59
CSIRO-Mk3-6-0,r5i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.78
CSIRO-Mk3-6-0,r6i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.69
CSIRO-Mk3-6-0,r7i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.67
CSIRO-Mk3-6-0,r8i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.54
CSIRO-Mk3-6-0,r9i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.77
CSIRO-Mk3-6-0,r10i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.80
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.30
CanESM2,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.24
CanESM2,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.24
CanESM2,r4i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.24
CanESM2,r5i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.25
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.81
EC-EARTH,r12i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.82
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.31
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.35
FIO-ESM,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.24
FIO-ESM,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.47
GFDL-CM3,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.04
GFDL-ESM2G,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.14
GFDL-ESM2M,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.29
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.66
GISS-E2-H,r1i1p2,rcp26,global_mean,Amon,tas,2041-2060,1.49
GISS-E2-H,r1i1p3,rcp26,global_mean,Amon,tas,2041-2060,1.82
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.26
GISS-E2-R,r1i1p2,rcp26,global_mean,Amon,tas,2041-2060,1.04
GISS-E2-R,r1i1p3,rcp26,global_mean,Amon,tas,2041-2060,1.50
HadGEM2-AO,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.56
HadGEM2-ES,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.95
HadGEM2-ES,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.97
HadGEM2-ES,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.91
HadGEM2-ES,r4i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.03
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.20
IPSL-CM5A-LR,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.16
IPSL-CM5A-LR,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.19
IPSL-CM5A-LR,r4i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.34
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.03
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.51
MIROC5,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.47
MIROC5,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.55
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.76
MPI-ESM-LR,r2i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.85
MPI-ESM-LR,r3i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.80
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.73
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.19
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.47
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.41
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.03
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.76
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.23
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.84
CCSM4,r2i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.86
CCSM4,r3i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.82
CCSM4,r4i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.80
CCSM4,r5i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.84
