FID_ROMS_r,eta_rho,xi_rho,lat_DD,lon_DD,FID_polygo,AREA,PERIMETER,EBS_BLOCKS,EBS_BLOC_1,EBSGRID_AL,EBSGRID__1,STATION_GR,STATION__1,STATION_ID
9551,53.000000,88.000000,55.469580,-163.558250,582,1370510000.00000000000,147654.00000000000,582,578,579,662,559,540,B-08
12455,69.000000,80.000000,55.471707,-166.811796,573,1329110000.00000000000,146005.00000000000,573,573,574,656,553,534,B-02
9914,55.000000,87.000000,55.474255,-163.964840,580,1398990000.00000000000,149715.00000000000,580,577,578,661,558,539,B-07
12092,67.000000,81.000000,55.475850,-166.405170,575,1399390000.00000000000,149818.00000000000,575,575,576,657,554,535,B-03
10277,57.000000,86.000000,55.477671,-164.371508,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11729,65.000000,82.000000,55.478734,-165.998476,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
10640,59.000000,85.000000,55.479827,-164.778231,579,1343100000.00000000000,146466.00000000000,579,580,581,660,557,538,B-06
11366,63.000000,83.000000,55.480358,-165.591739,577,1360180000.00000000000,147315.00000000000,577,576,577,658,555,536,B-04
11003,61.000000,84.000000,55.480723,-165.184982,578,1385290000.00000000000,149153.00000000000,578,579,580,659,556,537,B-05
13726,76.000000,77.000000,55.494267,-168.196688,568,1445640000.00000000000,152303.00000000000,568,574,575,654,551,566,
13363,74.000000,78.000000,55.502699,-167.790030,559,1453300000.00000000000,152681.00000000000,559,562,563,645,542,524,C-01
9007,50.000000,90.000000,55.505558,-162.905344,576,1349720000.00000000000,146758.00000000000,576,567,568,653,550,532,C-09
13000,72.000000,79.000000,55.509872,-167.383221,559,1453300000.00000000000,152681.00000000000,559,562,563,645,542,524,C-01
9370,52.000000,89.000000,55.512254,-163.312203,574,1346910000.00000000000,147425.00000000000,574,570,571,652,549,531,C-08
12637,70.000000,80.000000,55.515784,-166.976286,561,1336140000.00000000000,146149.00000000000,561,563,564,646,543,525,C-02
9733,54.000000,88.000000,55.517690,-163.719179,572,1400860000.00000000000,149103.00000000000,572,569,570,651,548,530,C-07
12274,68.000000,81.000000,55.520436,-166.569249,564,1403920000.00000000000,149803.00000000000,564,564,565,647,544,526,C-03
10096,56.000000,87.000000,55.521866,-164.126248,572,1400860000.00000000000,149103.00000000000,572,569,570,651,548,530,C-07
11911,66.000000,82.000000,55.523828,-166.162135,564,1403920000.00000000000,149803.00000000000,564,564,565,647,544,526,C-03
10459,58.000000,86.000000,55.524781,-164.533386,570,1346740000.00000000000,147124.00000000000,570,571,572,650,547,529,C-06
11548,64.000000,83.000000,55.525958,-165.754967,566,1365110000.00000000000,147935.00000000000,566,566,567,648,545,527,C-04
10822,60.000000,85.000000,55.526435,-164.940568,569,1381700000.00000000000,148692.00000000000,569,568,569,649,546,528,C-05
11185,62.000000,84.000000,55.526827,-165.347770,569,1381700000.00000000000,148692.00000000000,569,568,569,649,546,528,C-05
13908,77.000000,77.000000,55.536600,-168.362683,556,1434650000.00000000000,151838.00000000000,556,565,566,644,541,523,C-18
13545,75.000000,78.000000,55.545545,-167.955648,556,1434650000.00000000000,151838.00000000000,556,565,566,644,541,523,C-18
8826,49.000000,91.000000,55.547004,-162.658438,576,1349720000.00000000000,146758.00000000000,576,567,568,653,550,532,C-09
13182,73.000000,79.000000,55.553229,-167.548452,559,1453300000.00000000000,152681.00000000000,559,562,563,645,542,524,C-01
9189,51.000000,90.000000,55.554464,-163.065660,576,1349720000.00000000000,146758.00000000000,576,567,568,653,550,532,C-09
12819,71.000000,80.000000,55.559652,-167.141120,561,1336140000.00000000000,146149.00000000000,561,563,564,646,543,525,C-02
9552,53.000000,89.000000,55.560663,-163.473014,574,1346910000.00000000000,147425.00000000000,574,570,571,652,549,531,C-08
12456,69.000000,81.000000,55.564814,-166.733675,561,1336140000.00000000000,146149.00000000000,561,563,564,646,543,525,C-02
9915,55.000000,88.000000,55.565600,-163.880476,572,1400860000.00000000000,149103.00000000000,572,569,570,651,548,530,C-07
12093,67.000000,82.000000,55.568713,-166.326143,564,1403920000.00000000000,149803.00000000000,564,564,565,647,544,526,C-03
10278,57.000000,87.000000,55.569275,-164.288021,572,1400860000.00000000000,149103.00000000000,572,569,570,651,548,530,C-07
11730,65.000000,83.000000,55.571351,-165.918548,566,1365110000.00000000000,147935.00000000000,566,566,567,648,545,527,C-04
10641,59.000000,86.000000,55.571688,-164.695625,570,1346740000.00000000000,147124.00000000000,570,571,572,650,547,529,C-06
11367,63.000000,84.000000,55.572726,-165.510913,566,1365110000.00000000000,147935.00000000000,566,566,567,648,545,527,C-04
11004,61.000000,85.000000,55.572838,-165.103264,569,1381700000.00000000000,148692.00000000000,569,568,569,649,546,528,C-05
13727,76.000000,78.000000,55.588178,-168.121604,556,1434650000.00000000000,151838.00000000000,556,565,566,644,541,523,C-18
9008,50.000000,91.000000,55.596208,-162.818624,576,1349720000.00000000000,146758.00000000000,576,567,568,653,550,532,C-09
13364,74.000000,79.000000,55.596375,-167.714024,559,1453300000.00000000000,152681.00000000000,559,562,563,645,542,524,C-01
9371,52.000000,90.000000,55.603170,-163.226348,574,1346910000.00000000000,147425.00000000000,574,570,571,652,549,531,C-08
13001,72.000000,80.000000,55.603310,-167.306297,559,1453300000.00000000000,152681.00000000000,559,562,563,645,542,524,C-01
9734,54.000000,89.000000,55.608870,-163.634194,574,1346910000.00000000000,147425.00000000000,574,570,571,652,549,531,C-08
12638,70.000000,81.000000,55.608982,-166.898448,561,1336140000.00000000000,146149.00000000000,561,563,564,646,543,525,C-02
10097,56.000000,88.000000,55.613307,-164.042139,572,1400860000.00000000000,149103.00000000000,572,569,570,651,548,530,C-07
12275,68.000000,82.000000,55.613391,-166.490501,564,1403920000.00000000000,149803.00000000000,564,564,565,647,544,526,C-03
10460,58.000000,87.000000,55.616481,-164.450158,570,1346740000.00000000000,147124.00000000000,570,571,572,650,547,529,C-06
11912,66.000000,83.000000,55.616537,-166.082481,564,1403920000.00000000000,149803.00000000000,564,564,565,647,544,526,C-03
10823,60.000000,86.000000,55.618391,-164.858226,570,1346740000.00000000000,147124.00000000000,570,571,572,650,547,529,C-06
11549,64.000000,84.000000,55.618418,-165.674412,566,1365110000.00000000000,147935.00000000000,566,566,567,648,545,527,C-04
11186,62.000000,85.000000,55.619036,-165.266319,569,1381700000.00000000000,148692.00000000000,569,568,569,649,546,528,C-05
13909,77.000000,78.000000,55.630600,-168.287895,556,1434650000.00000000000,151838.00000000000,556,565,566,644,541,523,C-18
8827,49.000000,92.000000,55.637484,-162.571100,576,1349720000.00000000000,146758.00000000000,576,567,568,653,550,532,C-09
13546,75.000000,79.000000,55.639310,-167.879934,559,1453300000.00000000000,152681.00000000000,559,562,563,645,542,524,C-01
9190,51.000000,91.000000,55.645212,-162.979185,576,1349720000.00000000000,146758.00000000000,576,567,568,653,550,532,C-09
